# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	143308
#@/user_id	77f2e777-e85d-43ee-9e5e-1824289d1c44
an da 	安達	c=0 d=0.1 t=100014
an da xin 	安達信	c=1 d=1 t=100015
an dao li 	按道理	c=1 d=1 t=77010
an di 	案底	c=1 d=1 t=106029
an du 	安度	c=1 d=1 t=99169
an du wan nian 	安度晚年	c=1 d=1 t=82870
an dun 	安頓	c=0 d=0.1 t=103893
an dun hao 	安頓好	c=1 d=1 t=103894
an fu 	安撫	c=2 d=1 t=116430
an hao 	暗號	c=1 d=1 t=90034
an he qiao 	安河橋	c=2 d=1 t=79125
an hei 	暗黑	c=7 d=1.01522 t=127815
an hei po huai shen 	暗黑破壞神	c=1 d=1 t=74806
an hui 	安徽	c=4 d=1.0299 t=73692
an ji 	氨基	c=1 d=1 t=85139
an ji suan 	氨基酸	c=1 d=1 t=13990
an jia 	俺家	c=1 d=1 t=119695
an jia 	安家	c=1 d=1 t=3153
an jian 	安檢	c=6 d=1.95123 t=142265
an jian 	案件	c=2 d=1 t=67585
an jing 	安靜	c=1 d=0.1 t=141986
an ju le ye 	安居樂業	c=1 d=1 t=27223
an la 	安拉	c=1 d=1 t=8684
an le 	按了	c=1 d=1 t=111801
an le si 	安樂死	c=1 d=1 t=73375
an li 	安利	c=2 d=1 t=120468
an li 	按理	c=1 d=1 t=77817
an li 	案例	c=8 d=1 t=135898
an ling 	安陵	c=0 d=0.1 t=78275
an ling rong 	安陵容	c=1 d=1 t=78276
an men 	俺們	c=11 d=0.820676 t=137644
an na 	安娜	c=1 d=1.09501 t=104250
an ni 	按你	c=2 d=1 t=55232
an ning 	安寧	c=0 d=0.1 t=123289
an niu 	按鈕	c=2 d=1.9802 t=121017
an pai 	安排	c=33 d=1.00004 t=141828
an pai ba 	安排吧	c=1 d=1 t=134536
an pai hao 	安排好	c=1 d=1 t=97245
an pai xia 	安排下	c=1 d=1 t=103900
an pai yi ge 	安排一個	c=1 d=1 t=127616
an ping 	安平	c=2 d=1 t=120112
an quan 	安全	c=28 d=1.00002 t=141143
an quan dai 	安全帶	c=4 d=1 t=109964
an quan gan 	安全感	c=0 d=0.1 t=63203
an quan ji bie 	安全級別	c=2 d=1.99501 t=126755
an quan ji lu 	安全記錄	c=1 d=1 t=13458
an quan liang 	安全量	c=1 d=1 t=121926
an quan xing 	安全性	c=3 d=1.97045 t=125342
an quan yuan 	安全員	c=1 d=1 t=29319
an ran wu yang 	安然無恙	c=1 d=1 t=22616
an sha 	暗殺	c=1 d=1.00007 t=128568
an sha diao 	暗殺掉	c=1 d=1 t=127112
an shang 	岸上	c=1 d=1 t=32431
an shi 	按時	c=1 d=1 t=38346
an shi 	暗示	c=9 d=1 t=122147
an shi deng ji 	按時登機	c=1 d=1 t=587
an shuo 	按說	c=3 d=1 t=30286
an si 	按死	c=1 d=1 t=75118
an su 	安蘇	c=1 d=1 t=59739
an ta men 	按他們	c=1 d=1 t=77092
an tong kuan qu 	暗通款曲	c=2 d=1.99501 t=75901
an tu 	按圖	c=1 d=1 t=107742
an tu suo ji 	按圖索驥	c=1 d=1 t=107743
an wang 	暗網	c=1 d=1 t=103845
an wei 	安慰	c=6 d=1 t=128401
an wei ji 	安慰劑	c=1 d=1 t=51776
an wei zi ji 	安慰自己	c=1 d=1 t=121744
an wo 	按我	c=1 d=0.1 t=65237
an wo xian zai 	按我現在	c=1 d=1 t=65238
an xia 	按下	c=1 d=1 t=123432
an xiang 	安詳	c=1 d=1 t=71331
an xin 	安心	c=4 d=1 t=56067
an xin 	安欣	c=2 d=1.36604 t=97355
an xin kan xi 	安心看戲	c=1 d=1 t=39569
an ya 	按壓	c=1 d=1 t=12832
an yi 	安逸	c=2 d=1 t=121928
an ying 	暗影	c=0 d=0.1 t=39613
an ying guo du 	暗影國度	c=1 d=1 t=39614
an ying jie 	暗影界	c=1 d=1 t=13105
an yue 	暗月	c=3 d=1 t=60136
an zai 	按在	c=1 d=1 t=68458
an zhao 	按照	c=18 d=1 t=125967
an zhe 	俺這	c=1 d=1 t=135499
an zhe 	按着	c=0 d=0.1 t=14013
an zhe 	按這	c=1 d=1 t=131759
an zhe ge 	按着個	c=2 d=1 t=22202
an zhu 	按住	c=1 d=1 t=83250
an zhuang 	安裝	c=3 d=1.0017 t=74099
an zhuang bao 	安裝包	c=1 d=1 t=4584
an zhuang guo 	安裝過	c=1 d=1 t=66707
an zhuo 	安卓	c=3 d=1.92312 t=102869
an zhuo ji 	安卓機	c=1 d=1 t=7338
an zi 	暗自	c=1 d=1 t=89677
an zi 	案子	c=2 d=1 t=120702
ang 	昂	c=0 d=0.1 t=38596
ang sa 	昂撒	c=2 d=1 t=129375
ang sa ren 	昂撒人	c=1 d=1 t=100186
ang si 	盎司	c=1 d=1 t=130701
ang zang 	骯髒	c=1 d=1 t=19330
ao 	奧	c=7 d=1 t=125079
ao 	敖	c=1 d=1 t=73110
ao 	熬	c=4 d=1 t=112766
ao ao 	嗷嗷	c=1 d=1 t=1519
ao ba ma 	奧巴馬	c=8 d=1.95123 t=137718
ao bai 	鰲拜	c=0 d=0.1 t=127713
ao da li ya 	澳大利亞	c=6 d=1 t=52795
ao dai li 	奧黛麗	c=0 d=0.1 t=76042
ao dai li he ben 	奧黛麗赫本	c=1 d=1 t=76043
ao dao 	熬到	c=1 d=1 t=3035
